Id,Type,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg
101101x,4,74,84.4,2.3,2.8,9.9,0,18,0.02,0.08,0,101,0.5,0.37,119,253,214,96,239,104,39,139
103001,4,72,84.7,2.5,2.7,9.3,0,26,0.03,0.15,1,118,0.4,0.53,111,203,163,20,201,94,38,121
31101,4,359,10.2,35.1,16,18.6,15.5,37,0.41,0.2,0,191,8.2,4.61,1250,2370,1990,780,3190,1190,450,1140
012001x,1,346,13.3,7.4,0.8,77.2,0.7,0,0.11,0.05,0,13,2.3,1.7,290,510,190,330,600,190,60,320
15101,1,358,11.6,9,3.1,73.5,1.6,17,0.33,0.1,0,41,5.1,1.87,420,130,140,570,940,350,120,480
011201x,1,344,12.7,11.2,1.5,71.5,2.1,0,0.28,0.08,0,31,3.5,1.64,500,1060,350,590,1170,420,110,590
192004,5,899,0.1,0,99.9,0,0,0,0,0,0,13,2,1.09,48,72,73,21,78,38,9,47
111101x,3,138,75.8,12.7,9,1.5,0,310,0.09,0.31,0,48,2,1.1,720,1080,840,490,1190,600,200,700
21205,1,55,85.2,0.9,0.1,12.6,0.8,0,0.03,0.03,13,21,0.6,0,58,94,82,45,120,51,29,87
43213,2,22,93.5,0.7,0.1,4.5,0.8,148,0.03,0.04,8,16,0.4,0.14,19,21,25,12,39,19,10,26
081110x,3,143,71,20.3,6.2,1.5,0,44,0.54,0.1,0,6,3,2.99,700,1590,1690,500,1660,920,60,750
91112,3,167,69,19.3,9.4,1.3,0,48,0.05,0.09,0,9,1.4,10.6,890,1620,1760,840,1590,960,160,1030
45125,2,23,92.9,1.8,0.5,2.7,1.1,103,0.04,0.11,36,108,1.2,0.33,55,93,89,18,99,51,23,63
081111x,3,395,46.8,13.2,37,2.4,0,0,0.22,0.16,0,6,1.6,0.69,530,1160,1210,520,1150,600,70,620
045101x,2,21,93.6,1.7,0.2,3.1,0.6,42,0.06,0.07,47,69,0.5,0.38,34,55,46,28,39,41,10,53
082101x,3,190,68.1,18.1,13.4,0,0,9,0.03,0.11,0,8,3.2,3.71,970,1900,2070,490,1760,1110,130,1080
