id,composition,amount,price,half
lun_1,012001x,0.25,0.5,FALSE
lun_2,011201x,0.5,1,FALSE
lun_3,011201x,0.5,1,FALSE
lun_4,31101,0.1,1.5,FALSE
lun_5,012001x,0.1,0.5,FALSE
lun_5,43213,0.2,0.5,FALSE
lun_6,011201x,0.4,6,FALSE
lun_6,081110x,0.25,6,FALSE
lun_6,192004,0.1,6,FALSE
lun_7,011201x,0.5,6,FALSE
lun_7,91112,0.4,6,FALSE
lun_7,192004,0.05,6,FALSE
lun_8,011201x,0.5,6,FALSE
lun_8,081110x,0.15,6,FALSE
lun_8,45125,0.4,6,FALSE
lun_8,192004,0.05,6,FALSE
lun_9,011201x,0.5,8,FALSE
lun_9,082101x,0.3,8,FALSE
lun_9,45125,0.4,8,FALSE
lun_9,192004,0.05,8,FALSE
lun_10,19010,1,8,FALSE
lun_10,111101x,0.5,8,FALSE
lun_10,045101x,0.2,8,FALSE
lun_10,45125,0.2,8,FALSE
lun_10,45301,0.2,8,FALSE
lun_10,192004,0.1,8,FALSE
lun_11,011201x,0.25,2,FALSE
lun_11,081111x,0.15,2,FALSE
lun_11,45331,0.3,2,FALSE
lun_11,192004,0.05,2,FALSE
lun_12,011201x,0.25,2.5,FALSE
lun_12,082101x,0.1,2.5,FALSE
lun_12,44301,0.1,2.5,FALSE
lun_12,192004,0.1,2.5,FALSE
lun_13,011201x,0.25,3,FALSE
lun_13,111101x,0.2,3,FALSE
lun_13,81409,0.2,3,FALSE
lun_13,192004,0.05,3,FALSE
lun_14,011201x,0.2,2.5,FALSE
lun_14,21101,0.5,2.5,FALSE
lun_14,111101x,0.2,2.5,FALSE
lun_14,192004,0.05,2.5,FALSE
lun_15,011201x,0.2,2,FALSE
lun_15,081111x,0.2,2,FALSE
lun_15,192004,0.1,2,FALSE
lun_16,011201x,0.5,8,FALSE
lun_16,081111x,0.2,8,FALSE
lun_16,045101x,0.4,8,FALSE
lun_16,192004,0.1,8,FALSE
lun_17,011201x,0.5,10,FALSE
lun_17,082101x,0.2,10,FALSE
lun_17,41201,0.4,10,FALSE
lun_17,192004,0.1,10,FALSE
lun_18,011201x,0.2,2,FALSE
lun_18,44404,0.4,2,FALSE
lun_18,111101x,0.2,2,FALSE
lun_18,192004,0.1,2,FALSE
lun_19,111101x,0.1,2,FALSE
lun_19,43119,0.5,2,FALSE
lun_19,52008,0.02,2,FALSE
lun_19,192017,0.02,2,FALSE
lun_20,41101,0.5,2,FALSE
lun_20,21204,0.05,2,FALSE
lun_20,52008,0.02,2,FALSE
lun_20,192017,0.02,2,FALSE
lun_21,121305,0.2,3,FALSE
lun_21,45301,0.5,3,FALSE
lun_21,192017,0.02,3,FALSE
lun_22,45301,1.5,2,FALSE
lun_22,111101x,0.2,2,FALSE
lun_22,192017,0.02,2,FALSE
lun_23,031301x,0.75,1,TRUE
lun_23,192004,0.015,1,TRUE
lun_24,31509,0.5,1,TRUE
lun_24,192004,0.015,1,TRUE
lun_25,51014,0.5,1,TRUE
lun_25,192017,0.01,1,TRUE
lun_26,45331,0.5,1.5,TRUE
lun_26,72004,0.1,1.5,TRUE
lun_26,192017,0.01,1.5,TRUE
lun_27,52004,0.4,1.5,TRUE
lun_27,045101x,0.75,1.5,TRUE
lun_27,192004,0.025,1.5,TRUE
lun_28,045101x,0.75,1.5,TRUE
lun_28,031301x,0.75,1.5,TRUE
lun_28,192004,0.025,1.5,TRUE
