id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
1,148,168.8,4.6,5.6,19.8,0,36,0.04,0.16,0,202,1,0.74,238,506,428,192,478,208,78,278,1.5,FALSE
2,90,105.875,3.125,3.375,11.625,0,32.5,0.0375,0.1875,1.25,147.5,0.5,0.6625,138.75,253.75,203.75,25,251.25,117.5,47.5,151.25,1.5,FALSE
3,35.9,1.02,3.51,1.6,1.86,1.55,3.7,0.041,0.02,0,19.1,0.82,0.461,125,237,199,78,319,119,45,114,1.5,FALSE
4,51.9,1.995,1.11,0.12,11.58,0.105,0,0.0165,0.0075,0,1.95,0.345,0.255,43.5,76.5,28.5,49.5,90,28.5,9,48,0.5,FALSE
5,53.7,1.74,1.35,0.465,11.025,0.24,2.55,0.0495,0.015,0,6.15,0.765,0.2805,63,19.5,21,85.5,141,52.5,18,72,0.5,FALSE
6,86.5,3.325,1.85,0.2,19.3,0.175,0,0.0275,0.0125,0,3.25,0.575,0.425,72.5,127.5,47.5,82.5,150,47.5,15,80,0.5,FALSE
7,172,6.35,5.6,0.75,35.75,1.05,0,0.14,0.04,0,15.5,1.75,0.82,250,530,175,295,585,210,55,295,1,FALSE
8,172,6.35,5.6,0.75,35.75,1.05,0,0.14,0.04,0,15.5,1.75,0.82,250,530,175,295,585,210,55,295,1,FALSE
9,261.9,6.36,5.6,10.74,35.75,1.05,0,0.14,0.04,0,16.8,1.95,0.929,254.8,537.2,182.3,297.1,592.8,213.8,55.9,299.7,1.5,FALSE
10,69,37.9,6.35,4.5,0.75,0,155,0.045,0.155,0,24,1,0.55,360,540,420,245,595,300,100,350,1,FALSE
11,158.9,37.91,6.35,14.49,0.75,0,155,0.045,0.155,0,25.3,1.2,0.659,364.8,547.2,427.3,247.1,602.8,303.8,100.9,354.7,1.5,FALSE
12,55,85.2,0.9,0.1,12.6,0.8,0,0.03,0.03,13,21,0.6,0,58,94,82,45,120,51,29,87,1,FALSE
13,39,20.03,0.88,0.1,8.62,0.23,29.6,0.017,0.013,1.6,4.5,0.31,0.198,32.8,55.2,24,35.4,67.8,22.8,8,37.2,0.5,FALSE
14,263.25,22.84,9.555,12.14,28.975,0.84,11,0.247,0.057,0,15.2,2.35,1.5125,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6,FALSE
15,283.75,33.955,13.32,9.505,36.27,1.05,19.2,0.16,0.076,0,19.75,2.41,5.1145,608.4,1181.6,882.65,632.05,1224.9,595.9,119.45,709.35,6,FALSE
16,292.55,54.17,9.365,11.87,37.055,1.49,47.8,0.237,0.099,14.4,60.9,2.88,1.5095,381.8,812.9,471.4,379.3,881.4,372.2,74.1,437.4,6,FALSE
17,196.5,38.28,5.29,10.98,19.165,0.705,12.6,0.121,0.065,14.1,30,1.365,0.682,217.1,459.1,286.45,234.95,480.6,209.2,41.45,258.75,2,FALSE
18,198.6,18.915,4.71,11.725,18.645,0.635,69.7,0.077,0.034,1.3,13.05,1.495,0.912,239.7,482.4,316.6,204.2,503.9,234.8,49.4,280,2,FALSE
19,200.95,29.82,8.14,9.25,21.295,0.525,63,0.14,0.168,0,19.8,2.275,1.3285,443.4,796.6,599.15,338.55,848.4,422.9,97.95,481.85,3,FALSE
