id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
1,148.0,168.8,4.6,5.6,19.8,0.0,36.0,0.04,0.16,0.0,202.0,1.0,0.74,238.0,506.0,428.0,192.0,478.0,208.0,78.0,278.0,1.5,False
2,90.0,105.875,3.125,3.375,11.625,0.0,32.5,0.0375,0.1875,1.25,147.5,0.5,0.6625000000000001,138.75,253.75,203.75,25.0,251.25,117.5,47.5,151.25,1.5,False
3,35.9,1.02,3.5100000000000002,1.6,1.8600000000000003,1.55,3.7,0.041,0.020000000000000004,0.0,19.1,0.82,0.4610000000000001,125.0,237.0,199.0,78.0,319.0,119.0,45.0,114.0,1.5,False
4,51.9,1.995,1.11,0.12,11.58,0.105,0.0,0.0165,0.0075,0.0,1.95,0.345,0.255,43.5,76.5,28.5,49.5,90.0,28.5,9.0,48.0,0.5,False
5,53.699999999999996,1.74,1.3499999999999999,0.46499999999999997,11.025,0.24,2.55,0.0495,0.015,0.0,6.1499999999999995,0.7649999999999999,0.2805,63.0,19.5,21.0,85.5,141.0,52.5,18.0,72.0,0.5,False
6,86.5,3.325,1.85,0.2,19.3,0.175,0.0,0.0275,0.0125,0.0,3.25,0.575,0.425,72.5,127.5,47.5,82.5,150.0,47.5,15.0,80.0,0.5,False
7,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
8,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
9,261.9,6.359999999999999,5.6,10.740000000000002,35.75,1.05,0.0,0.14,0.04,0.0,16.8,1.95,0.9289999999999999,254.8,537.2,182.3,297.1,592.8,213.8,55.9,299.7,1.5,False
10,69.0,37.9,6.35,4.5,0.75,0.0,155.0,0.045,0.155,0.0,24.0,1.0,0.55,360.0,540.0,420.0,245.0,595.0,300.0,100.0,350.0,1.0,False
11,158.9,37.91,6.35,14.490000000000002,0.75,0.0,155.0,0.045,0.155,0.0,25.3,1.2,0.659,364.8,547.2,427.3,247.1,602.8,303.8,100.9,354.7,1.5,False
12,55.0,85.2,0.9,0.1,12.6,0.8,0.0,0.03,0.03,13.0,21.0,0.6,0.0,58.0,94.0,82.0,45.0,120.0,51.0,29.0,87.0,1.0,False
13,39.0,20.03,0.8800000000000001,0.10000000000000002,8.620000000000001,0.23000000000000004,29.6,0.017,0.013000000000000001,1.6,4.5,0.31,0.198,32.8,55.2,24.0,35.4,67.8,22.8,8.0,37.2,0.5,False
14,263.25,22.84,9.555,12.140000000000002,28.975,0.8400000000000001,11.0,0.24700000000000003,0.057,0.0,15.200000000000001,2.3500000000000005,1.5125000000000002,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6.0,False
15,283.75,33.955000000000005,13.32,9.505,36.27,1.05,19.200000000000003,0.16000000000000003,0.076,0.0,19.75,2.41,5.1145000000000005,608.4,1181.6,882.65,632.05,1224.9,595.9,119.45,709.35,6.0,False
16,292.54999999999995,54.17,9.365,11.870000000000001,37.055,1.4900000000000002,47.800000000000004,0.23700000000000004,0.099,14.4,60.9,2.8800000000000003,1.5095,381.8,812.9000000000001,471.40000000000003,379.3,881.4,372.2,74.10000000000001,437.4,6.0,False
17,196.5,38.28,5.289999999999999,10.98,19.165,0.7050000000000001,12.6,0.12100000000000001,0.065,14.1,30.0,1.365,0.6819999999999999,217.1,459.1,286.45,234.95000000000002,480.59999999999997,209.20000000000002,41.45,258.75,2.0,False
18,198.60000000000002,18.915000000000003,4.71,11.725000000000001,18.645,0.635,69.7,0.07700000000000001,0.034,1.3,13.05,1.495,0.9119999999999999,239.70000000000002,482.4,316.6,204.2,503.90000000000003,234.8,49.4,280.0,2.0,False
19,200.95,29.82,8.14,9.25,21.295,0.525,63.0,0.14,0.168,0.0,19.8,2.275,1.3285,443.4,796.6,599.15,338.55,848.4,422.9,97.95,481.85,3.0,False
20,179.35000000000002,57.605,5.779999999999999,7.195000000000001,22.85,0.77,64.5,0.114,0.098,13.5,20.45,1.6,0.7875000000000001,275.4,478.6,282.65,239.55,535.9,231.4,76.95,303.85,2.5,False
21,237.70000000000002,11.909999999999998,4.88,17.69,14.780000000000001,0.42000000000000004,0.0,0.1,0.048,0.0,8.700000000000001,1.22,0.575,210.8,451.2,319.3,224.1,471.8,207.8,36.9,246.7,2.0,False
22,346.1,54.2,8.8,18.220000000000002,36.75,1.4100000000000001,25.200000000000003,0.18800000000000003,0.14800000000000002,2.0,33.199999999999996,5.03,1.123,372.8,788.4000000000001,441.1,407.1,845.1999999999999,346.2,74.7,443.7,8.0,False
23,196.70000000000002,54.43,5.74,12.250000000000002,15.880000000000003,0.98,156.0,0.082,0.11399999999999999,9.600000000000001,33.9,1.9400000000000002,0.829,284.0,498.4,293.3,237.29999999999998,539.8,240.60000000000002,74.10000000000001,295.5,2.0,False
24,20.98,45.601,1.3,1.147,1.402,0.85,243.5,0.02,0.055,16.0,33.09,1.472,1.9567,50.49,91.72,74.23,18.21,96.78,57.38,18.09,60.47,1.0,True
25,17.48,47.201,0.6,1.047,0.802,0.25,0.0,0.01,0.075,0.0,23.09,0.47200000000000003,2.4667,32.49,40.22,32.73,24.71,39.28,20.38,3.59,28.97,1.0,True
26,74.235,62.101499999999994,6.074999999999999,4.2735,2.8499999999999996,0.30000000000000004,0.0,0.03,0.0225,0.0,123.195,1.4549999999999998,0.84885,255.72,518.58,391.095,180.315,586.17,263.07,90.135,285.705,1.0,True
27,83.485,32.6015,8.1,3.2984999999999998,5.35,0.4,0.0,0.015,0.035,0.0,154.195,2.48,0.90135,551.72,661.08,578.595,100.315,792.17,409.57,112.635,488.205,1.0,True
