id,composition,amount,price,half,type,pos
1,101101x,2,1.5,FALSE,4,0
2,103001,1.25,1.5,FALSE,4,1
5,15101,0.15,0.5,FALSE,1,4
12,21205,1,1,FALSE,1,8
13,012001x,0.1,0.5,FALSE,1,3
13,43213,0.2,0.5,FALSE,2,9
14,011201x,0.4,6,FALSE,1,5
14,081110x,0.25,6,FALSE,3,10
14,192004,0.1,6,FALSE,5,6
15,011201x,0.5,6,FALSE,1,5
15,91112,0.4,6,FALSE,3,11
15,192004,0.05,6,FALSE,5,6
16,011201x,0.5,6,FALSE,1,5
16,081110x,0.15,6,FALSE,3,10
16,45125,0.4,6,FALSE,2,12
16,192004,0.1,6,FALSE,5,6
17,011201x,0.25,2,FALSE,1,5
17,081111x,0.15,2,FALSE,3,13
17,045101x,0.3,2,FALSE,2,14
17,192004,0.05,2,FALSE,5,6
18,011201x,0.25,2,FALSE,1,5
18,082101x,0.1,2,FALSE,3,15
18,41201,0.1,2,FALSE,2,16
18,192004,0.1,2,FALSE,5,6
19,011201x,0.25,3,FALSE,1,5
19,111101x,0.2,3,FALSE,3,7
19,81409,0.2,3,FALSE,3,17
19,192004,0.05,3,FALSE,5,6
23,011201x,0.2,2,FALSE,1,5
23,44404,0.4,2,FALSE,2,20
23,111101x,0.2,2,FALSE,3,7
23,192004,0.1,2,FALSE,5,6
26,031301x,0.75,1,TRUE,4,24
26,192004,0.015,1,TRUE,5,6
28,21101,0.5,1,TRUE,1,18
28,192004,0.015,1,TRUE,5,6
