id,composition,amount,price,half,type,pos
6,011201x,0.4,6,FALSE,1,5
6,081110x,0.25,6,FALSE,3,10
6,192004,0.1,6,FALSE,5,6
10,19010,1,8,FALSE,1,31
10,111101x,0.5,8,FALSE,3,7
10,045101x,0.2,8,FALSE,2,14
10,45125,0.2,8,FALSE,2,12
10,45301,0.2,8,FALSE,2,21
10,192004,0.1,8,FALSE,5,6
13,011201x,0.25,3,FALSE,1,5
13,111101x,0.2,3,FALSE,3,7
13,81409,0.2,3,FALSE,3,17
13,192004,0.05,3,FALSE,5,6
19,111101x,0.1,2,FALSE,3,7
19,43119,0.5,2,FALSE,2,33
19,52008,0.02,2,FALSE,2,34
19,192017,0.02,2,FALSE,5,22
28,045101x,0.75,1.5,TRUE,2,14
28,031301x,0.75,1.5,TRUE,4,24
28,192004,0.025,1.5,TRUE,5,6
35,42206,0.5,1.5,TRUE,2,42
35,21204,0.075,1.5,TRUE,1,36
35,192004,0.025,1.5,TRUE,5,6
39,42118,0.5,2.5,TRUE,2,45
39,081111x,0.15,2.5,TRUE,3,13
39,192004,0.025,2.5,TRUE,5,6
44,031301x,0.75,2.5,TRUE,4,24
44,081111x,0.15,2.5,TRUE,3,13
44,192004,0.025,2.5,TRUE,5,6
48,81114,0.125,4,TRUE,3,50
48,21101,0.125,4,TRUE,1,18
48,192004,0.025,4,TRUE,5,6
54,121203,0.5,3.5,TRUE,3,54
54,43123,0.05,3.5,TRUE,2,41
54,41201,0.05,3.5,TRUE,2,16
54,192004,0.05,3.5,TRUE,5,6
