id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
1,148,168.8,4.6,5.6,19.8,0,36,0.04,0.16,0,202,1,0.74,238,506,428,192,478,208,78,278,1.5,FALSE
2,90,105.875,3.125,3.375,11.625,0,32.5,0.0375,0.1875,1.25,147.5,0.5,0.6625,138.75,253.75,203.75,25,251.25,117.5,47.5,151.25,1.5,FALSE
5,53.7,1.74,1.35,0.465,11.025,0.24,2.55,0.0495,0.015,0,6.15,0.765,0.2805,63,19.5,21,85.5,141,52.5,18,72,0.5,FALSE
12,55,85.2,0.9,0.1,12.6,0.8,0,0.03,0.03,13,21,0.6,0,58,94,82,45,120,51,29,87,1,FALSE
13,39,20.03,0.88,0.1,8.62,0.23,29.6,0.017,0.013,1.6,4.5,0.31,0.198,32.8,55.2,24,35.4,67.8,22.8,8,37.2,0.5,FALSE
14,263.25,22.84,9.555,12.14,28.975,0.84,11,0.247,0.057,0,15.2,2.35,1.5125,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6,FALSE
15,283.75,33.955,13.32,9.505,36.27,1.05,19.2,0.16,0.076,0,19.75,2.41,5.1145,608.4,1181.6,882.65,632.05,1224.9,595.9,119.45,709.35,6,FALSE
16,292.55,54.17,9.365,11.87,37.055,1.49,47.8,0.237,0.099,14.4,60.9,2.88,1.5095,381.8,812.9,471.4,379.3,881.4,372.2,74.1,437.4,6,FALSE
17,196.5,38.28,5.29,10.98,19.165,0.705,12.6,0.121,0.065,14.1,30,1.365,0.682,217.1,459.1,286.45,234.95,480.6,209.2,41.45,258.75,2,FALSE
18,198.6,18.915,4.71,11.725,18.645,0.635,69.7,0.077,0.034,1.3,13.05,1.495,0.912,239.7,482.4,316.6,204.2,503.9,234.8,49.4,280,2,FALSE
19,200.95,29.82,8.14,9.25,21.295,0.525,63,0.14,0.168,0,19.8,2.275,1.3285,443.4,796.6,599.15,338.55,848.4,422.9,97.95,481.85,3,FALSE
23,196.7,54.43,5.74,12.25,15.88,0.98,156,0.082,0.114,9.6,33.9,1.94,0.829,284,498.4,293.3,237.3,539.8,240.6,74.1,295.5,2,FALSE
26,74.235,62.1015,6.075,4.2735,2.85,0.3,0,0.03,0.0225,0,123.195,1.455,0.84885,255.72,518.58,391.095,180.315,586.17,263.07,90.135,285.705,1,TRUE
28,51.485,39.9015,1,1.5985,8.25,0.35,2.5,0.04,0.02,13.5,4.195,0.43,0.20135,29.72,48.08,42.095,22.815,61.17,26.07,14.635,44.205,1,TRUE
