id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
9,193,29.24,5,10.96,18.615,0.625,1,0.107,0.048,0.4,18.9,1.535,0.64,214.9,455,285.65,228.35,481.5,205.7,38.45,254.65,2,FALSE
11,179.35,57.605,5.78,7.195,22.85,0.77,64.5,0.114,0.098,13.5,20.45,1.6,0.7875,275.4,478.6,282.65,239.55,535.9,231.4,76.95,303.85,2.5,FALSE
12,366.9,107.52,10.64,18.54,39.43,2.45,235,0.204,0.162,24,60,3.87,1.497,448.8,927.2,544.3,449.1,972.8,415.8,97.9,505.7,8,FALSE
14,196.7,54.43,5.74,12.25,15.88,0.98,156,0.082,0.114,9.6,33.9,1.94,0.829,284,498.4,293.3,237.3,539.8,240.6,74.1,295.5,2,FALSE
15,48.95,47.921,0.959,2.071,6.634,0.762,6.06,0.0209,0.0504,9.04,35.21,1.552,0.2643,66.44,131.1,60.98,67.52,155.44,62.92,23.24,89.44,2,FALSE
24,45.825,48.8175,0.725,2.6025,4.83,0.48,31.5,0.0055,0.095,2.5,21.075,3.76,0.13875,57.5,105,45.125,47.925,132.35,45.05,17.825,71.675,1.5,TRUE
29,45.775,54.7825,1.72,3.4975,1.9,0.25,77,0.024,0.046,9.5,10.125,0.45,0.20225,79.7,119.8,97.325,58.025,137.95,70.95,32.225,87.175,2,TRUE
30,66.25,55.485,1.67,5.995,1.35,0.25,38.5,0.019,0.046,4.5,17.45,0.55,0.2545,83.9,128.1,104.15,62.05,139.9,71.9,23.45,83.85,2,TRUE
32,244.725,11.9725,14.63,8.2475,28.06,3.25,2.5,0.163,0.249,0,69.725,9.89,1.08075,651.7,1106.8,993.325,224.525,315.95,754.45,970.725,764.175,2.5,TRUE
41,102.5,50.365,11.25,5.475,1.985,0.195,42.1,0.03,0.0795,7.85,5.15,2.43,3.5465,551.85,995.3,1070.35,257.55,1030.3,572,35.95,637.05,5,TRUE
43,141.675,58.4325,13.425,9.7425,0.075,0,0,0.03,0.03,0,59.475,0.825,0.78675,528.6,995.4,1130.475,549.075,995.85,595.35,83.175,626.025,3.5,TRUE
