id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
6,263.25,22.84,9.555,12.14,28.975,0.84,11,0.247,0.057,0,15.2,2.35,1.5125,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6,FALSE
10,476.5,112.75,17.27,17.39,62.67,6.48,281.4,0.393,0.423,23,112.9,6.52,3.523,772.6,1283.2,1023.7,793.5,1458.8,735,224.7,871.9,8,FALSE
13,200.95,29.82,8.14,9.25,21.295,0.525,63,0.14,0.168,0,19.8,2.275,1.3285,443.4,796.6,599.15,338.55,848.4,422.9,97.95,481.85,3,FALSE
19,45.4,55.036,2.254,3.016,2.354,0.682,81.56,0.0294,0.0664,9.54,15.26,1.542,0.2278,93.14,156.4,118.68,73.62,173.04,92.82,40.14,114.44,2,FALSE
28,98.975,132.3025,7.35,5.4225,5.175,0.75,31.5,0.075,0.075,35.25,175.075,1.85,1.14475,281.7,560.55,426.325,201.525,616.2,294.2,97.725,325.925,1.5,TRUE
35,69.75,45.475,2.2875,3.305,7.77,0.795,2.5,0.02075,0.035,4,13.45,0.89,0.3595,158.65,244.6,129.775,114.875,298.55,114.35,45.625,168.925,1.5,TRUE
39,244.725,11.9725,14.63,8.2475,28.06,3.25,2.5,0.163,0.249,0,69.725,9.89,1.08075,651.7,1106.8,993.325,224.525,315.95,754.45,970.725,764.175,2.5,TRUE
44,142.475,69.1225,8.055,10.8225,3.21,0.3,0,0.063,0.0465,0,124.225,1.715,0.96325,335.7,693.3,573.325,258.525,759.45,353.45,100.725,379.175,2.5,TRUE
48,74.35,16.6025,1.95,6.3475,2.3375,0.0875,1.875,0.055,0.02375,3.375,2.075,0.3125,0.50225,83.45,169.8,175.825,67.4,179.45,96.075,12.6,104.55,4,TRUE
54,111.4,45.765,8.95,7.465,2.135,0.125,51.75,0.0135,0.033,4.25,16.95,0.79,0.426,340.85,626.75,704.2,362.7,592.5,376.95,55.45,395.15,3.5,TRUE
