id,composition,amount,price,half,type,pos
1,101101x,2.0,1.5,False,4,0
2,103001,1.25,1.5,False,4,1
3,31101,0.1,1.5,False,4,2
4,012001x,0.15,0.5,False,1,3
5,15101,0.15,0.5,False,1,4
6,012001x,0.25,0.5,False,1,3
7,011201x,0.5,1.0,False,1,5
8,011201x,0.5,1.0,False,1,5
9,011201x,0.5,1.5,False,1,5
9,192004,0.1,1.5,False,5,6
10,111101x,0.5,1.0,False,3,7
11,111101x,0.5,1.5,False,3,7
11,192004,0.1,1.5,False,5,6
12,21205,1.0,1.0,False,1,8
13,012001x,0.1,0.5,False,1,3
13,43213,0.2,0.5,False,2,9
14,011201x,0.4,6.0,False,1,5
14,081110x,0.25,6.0,False,3,10
14,192004,0.1,6.0,False,5,6
15,011201x,0.5,6.0,False,1,5
15,91112,0.4,6.0,False,3,11
15,192004,0.05,6.0,False,5,6
16,011201x,0.5,6.0,False,1,5
16,081110x,0.15,6.0,False,3,10
16,45125,0.4,6.0,False,2,12
16,192004,0.1,6.0,False,5,6
17,011201x,0.25,2.0,False,1,5
17,081111x,0.15,2.0,False,3,13
17,045101x,0.3,2.0,False,2,14
17,192004,0.05,2.0,False,5,6
18,011201x,0.25,2.0,False,1,5
18,082101x,0.1,2.0,False,3,15
18,41201,0.1,2.0,False,2,16
18,192004,0.1,2.0,False,5,6
19,011201x,0.25,3.0,False,1,5
19,111101x,0.2,3.0,False,3,7
19,81409,0.2,3.0,False,3,17
19,192004,0.05,3.0,False,5,6
20,011201x,0.2,2.5,False,1,5
20,21101,0.5,2.5,False,1,18
20,111101x,0.2,2.5,False,3,7
20,192004,0.05,2.5,False,5,6
21,011201x,0.2,2.0,False,1,5
21,081111x,0.2,2.0,False,3,13
21,192004,0.1,2.0,False,5,6
22,011201x,0.5,8.0,False,1,5
22,081111x,0.2,8.0,False,3,13
22,45331,0.4,8.0,False,2,19
22,192004,0.1,8.0,False,5,6
23,011201x,0.2,2.0,False,1,5
23,44404,0.4,2.0,False,2,20
23,111101x,0.2,2.0,False,3,7
23,192004,0.1,2.0,False,5,6
24,45301,0.5,1.0,True,2,21
24,192017,0.01,1.0,True,5,22
25,52004,0.5,1.0,True,2,23
25,192017,0.01,1.0,True,5,22
26,031301x,0.75,1.0,True,4,24
26,192004,0.015,1.0,True,5,6
27,31509,0.5,1.0,True,4,25
27,192004,0.015,1.0,True,5,6
28,21101,0.5,1.0,True,1,18
28,192004,0.015,1.0,True,5,6
29,51014,0.5,1.0,True,2,26
29,192017,0.01,1.0,True,5,22
30,45331,0.5,1.5,True,2,19
30,72004,0.1,1.5,True,4,27
30,192017,0.01,1.5,True,5,22
31,061101x,1.0,1.0,False,2,28
32,64101,1.0,1.0,False,2,29
33,063101x,1.0,1.0,False,2,30
