id,composition,amount,price,half,type,pos
1,012001x,0.25,0.5,False,1,3
2,011201x,0.5,1.0,False,1,5
3,011201x,0.5,1.0,False,1,5
4,31101,0.1,1.5,False,4,2
5,15101,0.15,0.5,False,1,4
6,011201x,0.4,6.0,False,1,5
6,081110x,0.25,6.0,False,3,10
6,192004,0.1,6.0,False,5,6
7,011201x,0.5,6.0,False,1,5
7,91112,0.4,6.0,False,3,11
7,192004,0.05,6.0,False,5,6
8,13109,0.8,6.0,False,1,58
8,045101x,0.2,6.0,False,2,14
8,45125,0.2,6.0,False,2,12
8,31509,0.1,6.0,False,4,25
8,192004,0.1,6.0,False,5,6
9,011201x,0.25,2.0,False,1,5
9,081111x,0.15,2.0,False,3,13
9,45119,0.2,2.0,False,2,48
9,192004,0.05,2.0,False,5,6
10,011201x,0.25,3.0,False,1,5
10,111101x,0.2,3.0,False,3,7
10,81409,0.2,3.0,False,3,17
10,192004,0.05,3.0,False,5,6
11,011201x,0.2,2.5,False,1,5
11,21101,0.5,2.5,False,1,18
11,111101x,0.2,2.5,False,3,7
11,192004,0.05,2.5,False,5,6
12,011201x,0.5,8.0,False,1,5
12,081111x,0.2,8.0,False,3,13
12,44404,1.0,8.0,False,2,20
12,192004,0.1,8.0,False,5,6
13,011201x,0.5,8.0,False,1,5
13,111101x,0.5,8.0,False,3,7
13,43208,1.0,8.0,False,2,43
13,192004,0.1,8.0,False,5,6
14,011201x,0.2,2.0,False,1,5
14,44404,0.4,2.0,False,2,20
14,111101x,0.2,2.0,False,3,7
14,192004,0.1,2.0,False,5,6
15,41101,0.5,2.0,False,2,35
15,21204,0.05,2.0,False,1,36
15,52008,0.02,2.0,False,2,34
15,192017,0.02,2.0,False,5,22
16,45301,0.5,1.0,True,2,21
16,192017,0.01,1.0,True,5,22
17,031301x,0.75,1.0,True,4,24
17,192004,0.015,1.0,True,5,6
18,31509,0.5,1.0,True,4,25
18,192004,0.015,1.0,True,5,6
19,51014,0.5,1.0,True,2,26
19,192017,0.01,1.0,True,5,22
20,45331,0.5,1.5,True,2,19
20,72004,0.1,1.5,True,4,27
20,192017,0.01,1.5,True,5,22
21,52004,0.25,1.5,True,2,23
21,045101x,0.5,1.5,True,2,14
21,031301x,0.5,1.5,True,4,24
21,192004,0.025,1.5,True,5,6
22,91112,0.2,2.5,True,3,11
22,21101,0.5,2.5,True,1,18
22,41201,0.25,2.5,True,2,16
22,192004,0.025,2.5,True,5,6
23,031301x,0.75,2.5,True,4,24
23,121239,0.5,2.5,True,3,38
30,192004,0.025,2.5,True,5,6
24,45331,0.5,1.5,True,2,19
24,21204,0.05,1.5,True,1,36
24,192004,0.025,1.5,True,5,6
25,45125,0.5,1.5,True,2,12
25,51019,0.1,1.5,True,2,39
25,192004,0.025,1.5,True,5,6
26,45201,0.5,1.5,True,2,40
26,51014,0.1,1.5,True,2,26
26,192004,0.025,1.5,True,5,6
27,21101,0.4,1.5,True,1,18
27,41201,0.05,1.5,True,2,16
27,43123,0.15,1.5,True,2,41
27,192004,0.025,1.5,True,5,6
28,42206,0.5,1.5,True,2,42
28,21204,0.075,1.5,True,1,36
28,192004,0.025,1.5,True,5,6
29,111101x,0.1,2.0,True,3,7
29,43119,0.5,2.0,True,2,33
29,192004,0.025,2.0,True,5,6
30,111101x,0.1,2.0,True,3,7
30,43208,0.5,2.0,True,2,43
30,192004,0.025,2.0,True,5,6
31,031301x,0.75,2.5,True,4,24
31,081111x,0.15,2.5,True,3,13
31,192004,0.025,2.5,True,5,6
32,42118,0.5,2.5,True,2,45
32,081111x,0.15,2.5,True,3,13
32,192004,0.025,2.5,True,5,6
33,44106,0.5,2.5,True,2,46
33,081111x,0.15,2.5,True,3,13
33,192004,0.025,2.5,True,5,6
34,43123,0.5,2.5,True,2,41
34,081111x,0.15,2.5,True,3,13
34,192004,0.025,2.5,True,5,6
35,51051,0.4,2.5,True,2,47
35,081111x,0.15,2.5,True,3,13
35,192004,0.025,2.5,True,5,6
36,45119,0.4,2.5,True,2,48
36,21204,0.05,2.5,True,1,36
36,081111x,0.15,2.5,True,3,13
36,192004,0.025,2.5,True,5,6
37,081111x,0.25,4.0,True,3,13
37,43123,0.05,4.0,True,2,41
37,41201,0.05,4.0,True,2,16
37,192004,0.075,4.0,True,5,6
38,81108,0.25,4.0,True,3,49
38,31509,0.25,4.0,True,4,25
38,192004,0.05,4.0,True,5,6
39,91112,0.25,4.0,True,3,11
39,41201,0.05,4.0,True,2,16
39,43208,0.05,4.0,True,2,43
39,72004,0.05,4.0,True,4,27
39,192004,0.05,4.0,True,5,6
40,91303,1.0,7.0,False,3,51
41,82105,0.5,5.0,True,3,60
41,43123,0.1,5.0,True,2,41
41,41201,0.05,5.0,True,2,16
41,192004,0.05,5.0,True,5,6
42,121417,0.5,3.5,True,3,52
43,121242,0.75,3.5,True,3,53
43,192004,0.075,3.5,True,5,6
44,121203,0.5,3.5,True,3,54
44,43123,0.05,3.5,True,2,41
44,41201,0.05,3.5,True,2,16
44,192004,0.05,3.5,True,5,6
45,066201x,1.0,1.0,False,2,55
46,65033,1.0,1.0,False,2,56
47,64301,1.0,1.0,False,2,59
48,061101x,1.0,1.0,False,2,28
49,063101x,1.0,1.0,False,2,30
