id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,half
brk_1,148.0,168.8,4.6,5.6,19.8,0.0,36.0,0.04,0.16,0.0,202.0,1.0,0.74,238.0,506.0,428.0,192.0,478.0,208.0,78.0,278.0,1.5,False
brk_2,90.0,105.875,3.125,3.375,11.625,0.0,32.5,0.0375,0.1875,1.25,147.5,0.5,0.6625000000000001,138.75,253.75,203.75,25.0,251.25,117.5,47.5,151.25,1.5,False
brk_3,35.9,1.02,3.5100000000000002,1.6,1.8600000000000003,1.55,3.7,0.041,0.020000000000000004,0.0,19.1,0.82,0.4610000000000001,125.0,237.0,199.0,78.0,319.0,119.0,45.0,114.0,1.5,False
brk_4,51.9,1.995,1.11,0.12,11.58,0.105,0.0,0.0165,0.0075,0.0,1.95,0.345,0.255,43.5,76.5,28.5,49.5,90.0,28.5,9.0,48.0,0.5,False
brk_5,53.699999999999996,1.74,1.3499999999999999,0.46499999999999997,11.025,0.24,2.55,0.0495,0.015,0.0,6.1499999999999995,0.7649999999999999,0.2805,63.0,19.5,21.0,85.5,141.0,52.5,18.0,72.0,0.5,False
brk_6,86.5,3.325,1.85,0.2,19.3,0.175,0.0,0.0275,0.0125,0.0,3.25,0.575,0.425,72.5,127.5,47.5,82.5,150.0,47.5,15.0,80.0,0.5,False
brk_7,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
brk_8,172.0,6.35,5.6,0.75,35.75,1.05,0.0,0.14,0.04,0.0,15.5,1.75,0.82,250.0,530.0,175.0,295.0,585.0,210.0,55.0,295.0,1.0,False
brk_9,261.9,6.359999999999999,5.6,10.740000000000002,35.75,1.05,0.0,0.14,0.04,0.0,16.8,1.95,0.9289999999999999,254.8,537.2,182.3,297.1,592.8,213.8,55.9,299.7,1.5,False
brk_10,69.0,37.9,6.35,4.5,0.75,0.0,155.0,0.045,0.155,0.0,24.0,1.0,0.55,360.0,540.0,420.0,245.0,595.0,300.0,100.0,350.0,1.0,False
brk_11,158.9,37.91,6.35,14.490000000000002,0.75,0.0,155.0,0.045,0.155,0.0,25.3,1.2,0.659,364.8,547.2,427.3,247.1,602.8,303.8,100.9,354.7,1.5,False
brk_12,55.0,85.2,0.9,0.1,12.6,0.8,0.0,0.03,0.03,13.0,21.0,0.6,0.0,58.0,94.0,82.0,45.0,120.0,51.0,29.0,87.0,1.0,False
brk_13,39.0,20.03,0.8800000000000001,0.10000000000000002,8.620000000000001,0.23000000000000004,29.6,0.017,0.013000000000000001,1.6,4.5,0.31,0.198,32.8,55.2,24.0,35.4,67.8,22.8,8.0,37.2,0.5,False
brk_14,263.25,22.84,9.555,12.140000000000002,28.975,0.8400000000000001,11.0,0.24700000000000003,0.057,0.0,15.200000000000001,2.3500000000000005,1.5125000000000002,379.8,828.7,569.8,363.1,890.8,401.8,59.9,428.2,6.0,False
brk_15,283.75,33.955000000000005,13.32,9.505,36.27,1.05,19.200000000000003,0.16000000000000003,0.076,0.0,19.75,2.41,5.1145000000000005,608.4,1181.6,882.65,632.05,1224.9,595.9,119.45,709.35,6.0,False
