id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,771.36,146.772,20.099999999999998,38.529,84.879,2.84,157.55,0.3945,0.4,0.0,111.22999999999999,6.809,7.7309,1002.3800000000001,1721.5400000000002,878.3600000000001,976.22,2007.9599999999998,824.6600000000001,237.88000000000002,1084.04,7.0,79.45,30.64,2.13
lun,889.06,313.982,23.43,42.764,102.434,5.44,38.6,0.28800000000000003,0.232,33.800000000000004,233.28000000000003,12.213999999999999,4.9374,1136.58,1570.24,1209.96,600.02,1874.06,909.9599999999999,286.18,1361.54,16.0,73.17,35.32,0.91
din,856.7,132.15,34.1,41.39,87.02499999999999,5.525,58.6,0.368,0.333,17.0,213.0,7.325000000000001,2.0439999999999996,991.7,2311.8,1321.45,959.6500000000001,2025.1,945.7,190.45,1238.05,15.0,55.85,34.03,-2.77
total,2517.12,592.904,77.63,122.683,274.33799999999997,13.805000000000001,254.75,1.0505,0.9650000000000001,50.800000000000004,557.51,26.348,14.712299999999999,3130.66,5603.58,3409.7700000000004,2535.8900000000003,5907.119999999999,2680.3199999999997,714.51,3683.63,38.0,208.47,0.0,0.0
error_%,4.88,0.0,-4.0,76.0,-20.0,0.0,-68.16,-24.96,-31.07,-49.2,-30.31,119.57,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,19,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.15,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.25,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.65,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.5,,,,,,,,,,,,,,,,,,,,,,,,
45125,0.2,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.15,,,,,,,,,,,,,,,,,,,,,,,,
045101x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
21101,0.8,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.04,,,,,,,,,,,,,,,,,,,,,,,,
52004,1.0,,,,,,,,,,,,,,,,,,,,,,,,
31509,0.6,,,,,,,,,,,,,,,,,,,,,,,,
51014,1.0,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.1,,,,,,,,,,,,,,,,,,,,,,,,
043101x,0.8,,,,,,,,,,,,,,,,,,,,,,,,
45119,0.2,,,,,,,,,,,,,,,,,,,,,,,,
81108,0.5,,,,,,,,,,,,,,,,,,,,,,,,
91303,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13109,0.8,,,,,,,,,,,,,,,,,,,,,,,,
