id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,654.13,420.06600000000003,25.41,26.601999999999997,78.25200000000001,2.13,123.7,0.258,0.503,2.5,447.54,8.032,6.6662,1179.7900000000002,2372.52,1843.2800000000002,1080.56,2410.78,1087.58,303.53999999999996,1384.02,10.5,107.0,32.44,8.13
lun,670.55,610.905,9.67,16.495,120.22,8.61,67.15,0.2645,0.2805,85.2,74.45,4.18,1.825,298.2,545.15,434.8,256.5,570.3,312.35,82.15,357.35,11.0,73.91,33.26,-4.97
din,691.7,346.5,23.48,20.66,103.19,2.9099999999999997,361.2,0.538,0.486,18.0,88.2,8.51,4.079,1192.8,1725.2,1336.3,1091.1,2299.8,1067.8,327.9,1449.7,11.0,103.48,34.3,-2.0
total,2016.3799999999999,1377.471,58.56,63.75699999999999,301.66200000000003,13.649999999999999,552.05,1.0605,1.2695,105.7,610.19,20.722,12.5702,2670.79,4642.87,3614.38,2428.16,5280.88,2467.7299999999996,713.5899999999999,3191.0699999999997,32.5,284.39,0.0,0.0
error_%,6.13,0.0,-4.0,12.0,9.09,0.0,-21.14,-11.62,5.79,5.7,-23.73,3.61,67.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,100.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,16,GOOD,,,,,,,,,,,,,,,,,,,,,,,
101101x,4.0,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.6,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.4,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.4,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.4,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
45331,0.5,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.01,,,,,,,,,,,,,,,,,,,,,,,,
72004,0.1,,,,,,,,,,,,,,,,,,,,,,,,
061101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
043101x,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
066201x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
65033,4.0,,,,,,,,,,,,,,,,,,,,,,,,
