id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,650.97,91.553,25.9,7.147,120.85,3.9000000000000004,2.5,0.47500000000000003,0.175,13.5,204.89,8.16,3.5627,1331.44,2299.16,1145.69,1008.1300000000001,2608.34,1065.6399999999999,292.27,1417.4099999999999,5.0,80.43,32.63,8.77
lun,585.75,64.525,19.0875,5.555000000000001,115.02,3.9450000000000003,2.5,0.44075000000000003,0.155,4.0,59.95,6.140000000000001,2.8195,908.65,1834.6,654.775,999.875,2053.55,744.35,210.625,1053.925,4.5,62.37,29.36,-16.11
din,758.125,420.41150000000005,24.166,35.1015,86.57100000000001,6.618,171.69000000000003,0.4611,0.6126,96.46000000000001,271.265,14.222999999999999,4.61045,1293.56,2219.0,1546.695,1086.4550000000002,2595.91,1230.23,343.235,1493.885,19.0,116.37,38.0,8.57
total,1994.845,576.4895,69.1535,47.8035,322.44100000000003,14.463000000000001,176.69000000000003,1.3768500000000001,0.9426,113.96000000000001,536.105,28.523,10.992650000000001,3533.65,6352.76,3347.16,3094.46,7257.8,3040.22,846.13,3965.2200000000003,28.5,259.17,0.0,0.0
error_%,4.99,0.0,12.0,-12.0,18.18,0.0,-74.76,14.74,-21.45,13.96,-32.99,42.61,46.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,88.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,14,GOOD,,,,,,,,,,,,,,,,,,,,,,,
15101,0.15,,,,,,,,,,,,,,,,,,,,,,,,
011201x,3.5,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.23,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.4,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.4,,,,,,,,,,,,,,,,,,,,,,,,
21101,0.5,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.08,,,,,,,,,,,,,,,,,,,,,,,,
31509,0.5,,,,,,,,,,,,,,,,,,,,,,,,
51014,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,
52008,0.08,,,,,,,,,,,,,,,,,,,,,,,,
41101,2.0,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.275,,,,,,,,,,,,,,,,,,,,,,,,
45201,1.5,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
