id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,506.94,643.203,17.7,20.240999999999996,63.60600000000001,2.55,838.5,0.18,0.645,48.0,705.27,7.416,8.0901,865.47,1793.1599999999999,1506.69,630.63,1724.3400000000001,796.14,288.27,1015.41,7.5,101.8,25.04,-16.53
lun,753.05,233.455,28.427500000000006,23.535,107.28999999999999,4.465000000000001,179.10000000000002,0.40175,0.30800000000000005,37.6,150.45,8.4,5.1925,1387.85,2691.7999999999997,1872.275,1121.575,2814.9500000000003,1313.35,276.925,1573.625,19.0,97.41,37.19,6.26
din,764.695,194.72549999999998,31.979999999999997,19.0445,116.41,4.65,23.5,0.5680000000000001,0.22899999999999998,17.5,308.615,9.15,4.95845,1372.64,2853.96,1539.015,1348.1550000000002,3155.29,1280.59,364.495,1586.5849999999998,7.5,87.5,37.77,7.91
total,2024.685,1071.3835,78.1075,62.820499999999996,287.30600000000004,11.665000000000001,1041.1,1.14975,1.182,103.1,1164.335,24.966,18.241049999999998,3625.96,7338.919999999999,4917.9800000000005,3100.36,7694.580000000001,3390.08,929.6899999999999,4175.62,34.0,286.71,0.0,0.0
error_%,6.56,0.0,20.0,12.0,3.64,0.0,48.73,-4.19,-1.5,3.1,45.54,24.83,143.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,94.35,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,14,GOOD,,,,,,,,,,,,,,,,,,,,,,,
101101x,6.0,,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.5,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.18,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
45125,0.8,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.15,,,,,,,,,,,,,,,,,,,,,,,,
082101x,0.6,,,,,,,,,,,,,,,,,,,,,,,,
45301,1.5,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.03,,,,,,,,,,,,,,,,,,,,,,,,
031301x,1.5,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.075,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
44106,0.5,,,,,,,,,,,,,,,,,,,,,,,,
