id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,604.1,353.76000000000005,21.5,17.300000000000004,90.62,3.62,164.7,0.42400000000000004,0.294,112.5,100.2,5.21,6.321999999999999,934.8,1738.1999999999998,1249.3,913.5999999999999,1853.8000000000002,872.3,205.4,1073.2,11.5,95.53,27.15,-9.5
lun,800.95,157.29499999999996,32.91,23.895,113.67,3.7500000000000004,0.0,0.546,0.213,0.0,294.95,8.68,4.3865,1421.4,2976.6,1671.65,1402.05,3273.9,1336.9,366.45,1643.35,8.0,92.35,36.0,2.86
din,819.77,216.543,31.799999999999997,30.577,104.33,4.21,15.2,0.502,0.246,4.8,374.78999999999996,11.69,4.3947,1794.24,2322.16,1822.49,1010.33,3132.34,1447.54,381.17,1787.71,9.0,90.78,36.85,5.29
total,2224.82,727.598,86.21,71.772,308.62,11.580000000000002,179.89999999999998,1.472,0.753,117.3,769.9399999999999,25.58,15.1032,4150.44,7036.959999999999,4743.44,3325.9799999999996,8260.04,3656.74,953.02,4504.26,28.5,278.65999999999997,0.0,0.0
error_%,-7.3,0.0,20.0,16.0,0.0,0.0,-77.51,5.14,-46.21,17.3,-3.76,113.17,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,92.56,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,12,BAD,,,,,,,,,,,,,,,,,,,,,,,
15101,0.6,,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.7,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.28,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.4,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.6,,,,,,,,,,,,,,,,,,,,,,,,
21101,0.5,,,,,,,,,,,,,,,,,,,,,,,,
031301x,1.5,,,,,,,,,,,,,,,,,,,,,,,,
31509,1.0,,,,,,,,,,,,,,,,,,,,,,,,
061101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
64101,3.0,,,,,,,,,,,,,,,,,,,,,,,,
45119,0.4,,,,,,,,,,,,,,,,,,,,,,,,
