id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,560.915,563.6665,13.53,17.6545,86.739,6.25,129.05,0.36549999999999994,0.429,137.5,148.315,11.299,1.30795,492.93999999999994,761.5799999999999,576.545,400.96500000000003,1086.27,414.07000000000005,182.085,655.955,10.5,76.51,29.97,-0.1
lun,741.575,218.90750000000003,29.64,26.862500000000004,95.295,3.735,173.25000000000003,0.4355,0.218,66.75,61.175,6.44,10.88225,1327.35,2539.1499999999996,1919.725,1362.725,2684.25,1301.3,295.375,1582.4250000000002,16.5,99.65,39.63,13.23
din,568.875,237.9825,20.880000000000003,14.182500000000003,89.20500000000001,2.4,552.3,0.2625,0.17400000000000002,50.25,52.125,4.665,8.436750000000002,938.8499999999999,1652.4,1437.975,862.575,1796.85,910.3499999999999,245.17499999999998,1140.525,9.0,109.0,30.4,-13.14
total,1871.365,1020.5565,64.05000000000001,58.69950000000001,271.23900000000003,12.385,854.6,1.0635,0.8210000000000001,254.5,261.615,22.404,20.62695,2759.14,4953.129999999999,3934.245,2626.2650000000003,5567.37,2625.72,722.635,3378.905,36.0,285.16,0.0,0.0
error_%,-1.51,0.0,12.0,12.0,5.45,0.0,22.09,-11.38,-31.58,154.5,-67.3,12.02,175.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,97.81,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,13,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.15,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.29500000000000004,,,,,,,,,,,,,,,,,,,,,,,,
21205,2.0,,,,,,,,,,,,,,,,,,,,,,,,
91112,1.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.9,,,,,,,,,,,,,,,,,,,,,,,,
21101,4.2,,,,,,,,,,,,,,,,,,,,,,,,
45331,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.02,,,,,,,,,,,,,,,,,,,,,,,,
72004,0.2,,,,,,,,,,,,,,,,,,,,,,,,
64101,2.0,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.44999999999999996,,,,,,,,,,,,,,,,,,,,,,,,
