id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,509.0,268.3,13.899999999999999,1.8,109.3,4.5,0.0,0.37,0.16999999999999998,39.0,94.0,5.3,1.64,674.0,1342.0,596.0,725.0,1530.0,573.0,197.0,851.0,5.0,77.96,27.58,-8.07
lun,717.825,354.52250000000004,20.827499999999997,27.707500000000003,96.205,4.85,243.95,0.46125,0.3710000000000001,70.75,86.02499999999999,6.83,3.1297500000000005,1030.6999999999998,1751.0500000000002,1039.1999999999998,877.4000000000001,2005.3999999999999,852.0500000000001,302.3,1149.0500000000002,11.5,90.72,38.9,11.14
din,618.55,315.16499999999996,29.5,25.645000000000003,66.82000000000001,3.0700000000000003,125.7,0.38399999999999984,0.349,60.5,296.84999999999997,6.96,9.9115,1292.1999999999998,2448.2999999999997,1766.9499999999998,1165.1499999999999,2622.2000000000003,1240.1999999999998,330.35,1477.0500000000002,11.5,100.14,33.52,-4.23
total,1845.375,937.9875,64.22749999999999,55.1525,272.325,12.42,369.65,1.21525,0.8900000000000001,170.25,476.87499999999994,19.09,14.68125,2996.8999999999996,5541.35,3402.1499999999996,2767.55,6157.6,2665.25,829.6500000000001,3477.1000000000004,28.0,268.82,0.0,0.0
error_%,-2.88,0.0,12.0,8.0,7.27,0.0,-47.19,1.27,-25.83,70.25,-40.39,-4.55,95.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,92.29,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,14,GOOD,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.3000000000000003,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.35,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.8,,,,,,,,,,,,,,,,,,,,,,,,
21205,3.0,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.4,,,,,,,,,,,,,,,,,,,,,,,,
045101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.05,,,,,,,,,,,,,,,,,,,,,,,,
21101,2.4,,,,,,,,,,,,,,,,,,,,,,,,
52004,0.5,,,,,,,,,,,,,,,,,,,,,,,,
031301x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
061101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.075,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.15,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
