id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,466.41499999999996,528.5315,14.975,17.2145,62.429,2.75,592.0,0.27249999999999996,0.7324999999999999,76.25,521.265,5.734,6.50495,606.39,1088.93,885.995,179.865,1130.82,545.47,222.585,707.3050000000001,9.5,34.32,25.6,-14.67
lun,716.95,684.7049999999999,22.67,23.044999999999998,104.86000000000001,5.0600000000000005,111.2,0.36,0.279,119.2,291.45,6.449999999999999,3.4025,865.0,1729.0,1386.65,745.8499999999999,1934.5,922.5,261.45,992.75,12.0,87.58,39.34,12.4
din,638.8499999999999,123.825,15.06,18.025000000000002,103.97,2.58,62.1,0.30500000000000005,0.158,72.0,41.75,5.21,2.7325,617.4,961.6,661.65,735.05,1326.9,527.9,137.45,710.35,8.0,79.88,35.06,0.17
total,1822.215,1337.0615,52.705000000000005,58.28450000000001,271.259,10.39,765.3000000000001,0.9375,1.1694999999999998,267.45,854.4649999999999,17.394,12.63995,2088.79,3779.53,2934.295,1660.7649999999999,4392.219999999999,1995.87,621.4849999999999,2410.405,29.5,201.78,0.0,0.0
error_%,-4.09,0.0,-4.0,16.0,9.09,0.0,9.33,-21.87,-2.54,167.45,6.81,-13.03,68.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,70.25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,13,GOOD,,,,,,,,,,,,,,,,,,,,,,,
103001,3.75,,,,,,,,,,,,,,,,,,,,,,,,
012001x,1.2,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.3,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.14500000000000002,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.4,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.6,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.5,,,,,,,,,,,,,,,,,,,,,,,,
45301,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.02,,,,,,,,,,,,,,,,,,,,,,,,
031301x,1.5,,,,,,,,,,,,,,,,,,,,,,,,
063101x,4.0,,,,,,,,,,,,,,,,,,,,,,,,
43123,1.0,,,,,,,,,,,,,,,,,,,,,,,,
65033,2.0,,,,,,,,,,,,,,,,,,,,,,,,
