id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,835.35,612.0150000000001,24.14,19.544999999999998,140.64,3.8800000000000003,195.7,0.42800000000000005,0.544,42.7,490.95,7.17,3.4835,1183.0,2319.0,1525.65,1079.35,2452.5,1005.0,361.95,1403.25,9.5,104.08,33.03,10.1
lun,922.025,796.8925,24.6625,16.997500000000006,166.655,10.945,441.2,0.57375,0.45849999999999996,108.75,160.675,8.385,9.34825,1094.85,1989.85,1440.35,1005.05,2122.45,1051.9499999999998,283.6,1296.0,15.0,105.1,36.46,4.17
din,771.5699999999999,560.7919999999999,35.498999999999995,41.406,64.118,6.962,29.060000000000002,0.2899,0.34240000000000004,26.04,579.26,14.495999999999999,4.896300000000001,1477.24,2903.0199999999995,2293.51,1126.83,3255.5200000000004,1548.1,446.72999999999996,1655.6100000000001,14.5,90.69,30.51,-12.83
total,2528.9449999999997,1969.6995000000002,84.3015,77.9485,371.41299999999995,21.787,665.96,1.29165,1.3449,177.48999999999998,1230.885,30.051,17.72805,3755.09,7211.87,5259.51,3211.2299999999996,7830.47,3605.0499999999997,1092.28,4354.860000000001,39.0,299.87,0.0,0.0
error_%,5.37,0.0,4.0,12.0,7.27,0.0,-16.75,-7.74,-3.94,77.49,53.86,150.42,41.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,98.74,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,22,GOOD,,,,,,,,,,,,,,,,,,,,,,,
101101x,4.0,,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.2,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.24,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
21205,2.0,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.4,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.4,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.44999999999999996,,,,,,,,,,,,,,,,,,,,,,,,
045101x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.5,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.5,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.04,,,,,,,,,,,,,,,,,,,,,,,,
52004,0.4,,,,,,,,,,,,,,,,,,,,,,,,
031301x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
51014,1.0,,,,,,,,,,,,,,,,,,,,,,,,
061101x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
52008,0.02,,,,,,,,,,,,,,,,,,,,,,,,
41101,0.5,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.125,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
65033,5.0,,,,,,,,,,,,,,,,,,,,,,,,
