id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,687.5999999999999,329.97,18.305,21.225,105.36500000000001,1.365,97.5,0.302,0.625,3.75,465.15000000000003,4.485,3.6814999999999998,801.55,1527.95,879.05,520.6,1616.55,651.8,225.4,897.45,7.5,81.26,29.57,-1.43
lun,687.6249999999999,164.2725,27.02,31.347500000000004,74.40500000000002,2.055,295.6,0.4610000000000001,0.5630000000000001,11.1,74.025,7.584999999999999,4.385750000000001,1442.6999999999998,2564.8,1918.7749999999999,1109.0750000000003,2750.95,1362.4499999999998,334.07500000000005,1569.9250000000002,11.5,116.2,29.57,-15.51
din,949.9499999999999,497.975,25.389999999999997,17.300000000000004,172.705,6.6499999999999995,525.25,0.424,0.3465,89.25,88.65,7.405,7.5705,1066.95,1704.55,1376.95,1030.4499999999998,2062.0,1013.85,283.5,1252.1,14.0,95.91,40.85,16.71
total,2325.1749999999997,992.2175000000001,70.715,69.8725,352.475,10.07,918.35,1.187,1.5345000000000002,104.1,627.825,19.475,15.63775,3311.2,5797.3,4174.775,2660.125,6429.5,3028.1,842.975,3719.475,33.0,293.37,0.0,0.0
error_%,-3.12,0.0,-4.0,8.0,10.91,0.0,14.79,-15.21,9.61,4.1,-21.52,62.29,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,99.87,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,14,GOOD,,,,,,,,,,,,,,,,,,,,,,,
103001,3.75,,,,,,,,,,,,,,,,,,,,,,,,
012001x,1.2999999999999998,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.3,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.25,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.37500000000000006,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.8,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.2,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.4,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.55,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.4,,,,,,,,,,,,,,,,,,,,,,,,
43119,1.0,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.15,,,,,,,,,,,,,,,,,,,,,,,,
65033,3.0,,,,,,,,,,,,,,,,,,,,,,,,
