id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,514.2,97.92,12.06,23.75,63.15,1.96,228.20000000000002,0.20500000000000002,0.10700000000000001,7.4,39.6,3.92,2.418,577.8,1130.4,705.2,514.5999999999999,1211.1999999999998,538.0,122.8,671.6,5.5,101.82,23.88,-20.4
lun,820.45,350.525,36.905,16.320000000000004,131.60999999999999,5.8500000000000005,108.5,0.6380000000000001,0.3215,27.5,218.54999999999998,8.865,4.8405,1575.4,3084.6000000000004,1938.15,1607.0500000000002,3267.3999999999996,1435.9,401.45000000000005,1837.85,10.0,95.49,38.1,8.86
din,818.8499999999999,184.81,28.62,28.349999999999998,112.38500000000002,2.325,197.0,0.515,0.549,25.0,70.9,8.375,5.015499999999999,1486.1999999999998,2659.8,1910.4499999999998,1201.65,2879.2,1381.6999999999998,331.85,1624.5500000000002,11.0,113.53,38.02,8.63
total,2153.5,633.255,77.58500000000001,68.42,307.145,10.135000000000002,533.7,1.358,0.9775,59.9,329.04999999999995,21.16,12.274,3639.3999999999996,6874.8,4553.8,3323.3,7357.799999999999,3355.6,856.1,4134.0,26.5,310.84000000000003,0.0,0.0
error_%,-10.27,0.0,12.0,16.0,3.64,0.0,-33.29,-3.0,-30.18,-40.1,-58.87,76.33,-1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,103.13,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,15,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.8,,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.75,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.4,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.15,,,,,,,,,,,,,,,,,,,,,,,,
082101x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.2,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
031301x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
061101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
063101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
121239,0.5,,,,,,,,,,,,,,,,,,,,,,,,
44106,0.5,,,,,,,,,,,,,,,,,,,,,,,,
066201x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
