id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,636.96,150.612,19.26,4.394,130.14399999999998,4.61,546.2,0.409,0.241,35.2,112.68,8.214,6.7994,811.58,1608.8400000000001,641.46,862.2199999999999,1799.1599999999999,675.36,192.18,945.3399999999999,6.0,60.56,27.45,-8.5
lun,738.8,196.495,21.119999999999997,49.44500000000001,52.31500000000001,3.1149999999999998,471.75,0.356,0.3894999999999997,35.55,105.85,6.445,3.4915000000000003,1018.9,1834.7999999999997,1231.5500000000002,846.7,1978.2999999999997,913.9499999999999,247.5,1095.6,14.0,103.75,31.84,-9.03
din,944.45,470.05499999999995,31.399999999999995,11.795,177.35000000000002,8.0,72.0,0.5899999999999999,0.415,71.0,324.15,9.399999999999999,7.0095,1284.4,2636.1,1306.65,1289.55,2832.4,1189.9,316.95,1474.85,9.0,75.66,40.71,16.31
total,2320.21,817.1619999999999,71.77999999999999,65.634,359.809,15.725,1089.95,1.3549999999999998,1.0454999999999997,141.75,542.68,24.058999999999997,17.3004,3114.88,6079.74,3179.6600000000003,2998.4700000000003,6609.86,2779.21,756.63,3515.79,29.0,239.97,0.0,0.0
error_%,-3.32,0.0,-4.0,0.0,12.73,0.0,36.24,-3.21,-25.32,41.75,-32.17,100.49,38.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,79.87,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,14,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.7,,,,,,,,,,,,,,,,,,,,,,,,
011201x,3.1,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.4,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
43213,0.4,,,,,,,,,,,,,,,,,,,,,,,,
045101x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
21101,0.25,,,,,,,,,,,,,,,,,,,,,,,,
44404,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
45301,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.02,,,,,,,,,,,,,,,,,,,,,,,,
52004,0.5,,,,,,,,,,,,,,,,,,,,,,,,
031301x,1.0,,,,,,,,,,,,,,,,,,,,,,,,
81114,0.25,,,,,,,,,,,,,,,,,,,,,,,,
65033,3.0,,,,,,,,,,,,,,,,,,,,,,,,
