id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,645.38,315.701,23.240000000000002,25.347,80.432,1.76,221.2,0.36400000000000005,0.597,3.2,273.69,6.6419999999999995,6.2597000000000005,1222.89,2249.8199999999997,1707.03,964.6100000000001,2349.6800000000003,1119.78,293.48999999999995,1345.07,9.5,115.75,34.56,15.2
lun,687.66,171.23900000000003,25.265,13.331,116.63,3.65,120.4,0.4045,0.199,7.2,225.37,8.41,3.6496,1320.92,2221.6800000000003,1256.22,953.9399999999999,2535.42,1057.92,276.96,1390.28,7.5,90.4,36.82,5.2
din,534.3499999999999,560.0550000000001,21.950000000000003,14.545000000000003,78.61,6.254999999999999,184.90000000000003,0.40049999999999997,0.3235,81.25,204.89999999999998,9.62,2.9050000000000002,944.0500000000001,1572.45,1402.05,849.05,1819.3,897.55,303.3,1090.9,12.0,99.4,28.61,-18.26
total,1867.3899999999999,1046.9950000000001,70.45500000000001,53.223,275.672,11.665,526.5,1.169,1.1195,91.65,703.96,24.671999999999997,12.8143,3487.8600000000006,6043.95,4365.3,2767.6000000000004,6704.400000000001,3075.25,873.75,3826.25,29.0,305.55,0.0,0.0
error_%,-1.72,0.0,20.0,4.0,7.27,0.0,-24.79,-2.58,-6.71,-8.35,-12.0,23.36,70.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,101.57,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,21,GOOD,,,,,,,,,,,,,,,,,,,,,,,
101101x,2.0,,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.15,,,,,,,,,,,,,,,,,,,,,,,,
011201x,1.5,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.24000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.4,,,,,,,,,,,,,,,,,,,,,,,,
43213,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.15,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.4,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
45331,0.5,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.01,,,,,,,,,,,,,,,,,,,,,,,,
52004,0.5,,,,,,,,,,,,,,,,,,,,,,,,
031301x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
31509,0.5,,,,,,,,,,,,,,,,,,,,,,,,
061101x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.1,,,,,,,,,,,,,,,,,,,,,,,,
121239,0.5,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.44999999999999996,,,,,,,,,,,,,,,,,,,,,,,,
45119,0.4,,,,,,,,,,,,,,,,,,,,,,,,
