id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,499.7,18.685,14.53,1.8599999999999999,106.24000000000001,2.415,0.0,0.3295,0.10250000000000001,0.0,36.85,4.535,2.405,630.5,1289.5,435.5,738.5,1440.0,505.5,137.0,734.0,3.5,54.5,25.23,-15.9
lun,706.435,216.2315,28.5,30.298500000000004,79.97999999999999,3.16,115.65,0.28850000000000003,0.31699999999999995,9.1,184.44500000000002,7.26,6.47085,1433.67,2556.83,1838.9449999999997,1157.065,2849.12,1289.97,365.08500000000004,1582.9050000000002,12.0,111.08,35.67,1.91
din,774.45,239.155,25.0,21.445000000000004,120.28,5.4,232.0,0.548,0.402,63.2,180.95000000000002,8.06,3.7314999999999996,1128.0,2136.6,1026.95,1103.1499999999999,2365.1000000000004,950.3,293.75,1283.05,10.0,74.69,39.1,11.71
total,1980.585,474.0715,68.03,53.60350000000001,306.5,10.975000000000001,347.65,1.1660000000000001,0.8215,72.3,402.245,19.855,12.60735,3192.17,5982.93,3301.3949999999995,2998.715,6654.22,2745.77,795.835,3599.955,25.5,240.26999999999998,0.0,0.0
error_%,4.24,0.0,12.0,-4.0,12.73,0.0,-50.34,-2.83,-31.54,-27.7,-49.72,-0.72,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,85.62,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,15,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.95,,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.65,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.315,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.25,,,,,,,,,,,,,,,,,,,,,,,,
45125,1.0,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.05,,,,,,,,,,,,,,,,,,,,,,,,
81409,0.2,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.0,,,,,,,,,,,,,,,,,,,,,,,,
031301x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
72004,0.05,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.15,,,,,,,,,,,,,,,,,,,,,,,,
51019,0.2,,,,,,,,,,,,,,,,,,,,,,,,
42206,1.0,,,,,,,,,,,,,,,,,,,,,,,,
43208,0.05,,,,,,,,,,,,,,,,,,,,,,,,
