id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,1059.1,694.72,30.85,19.894999999999996,189.175,4.42,115.65,0.6085,0.665,26.0,697.45,9.995,4.701499999999999,1519.0,2824.5,1861.0,1512.5,3267.0,1303.5,456.0,1814.0,10.0,105.63,37.02,23.4
lun,993.0500000000002,214.901,29.819,42.571000000000005,123.124,5.232000000000001,837.06,0.5069,0.2724,24.64,128.81,10.522,5.5413,1567.6399999999999,3125.1,2027.48,1320.02,3321.0400000000004,1550.3200000000002,364.94000000000005,1874.1400000000003,32.0,122.39,34.71,-0.83
din,808.835,257.5755,41.29,30.282500000000006,92.932,6.0,236.5,0.39399999999999996,0.3320000000000001,24.5,555.1750000000001,15.832,5.287750000000001,2385.95,3441.1600000000003,2455.815,1059.755,3980.0899999999997,1886.39,500.39500000000004,2294.785,13.0,73.33,28.27,-19.23
total,2860.985,1167.1965,101.959,92.7485,405.231,15.652000000000001,1189.21,1.5094,1.2694,75.14,1381.435,36.349000000000004,15.53055,5472.59,9390.76,6344.295,3892.275,10568.130000000001,4740.21,1321.335,5982.925,55.0,301.34999999999997,0.0,0.0
error_%,19.21,0.0,12.0,16.0,3.64,0.0,48.65,7.81,-9.33,-24.86,72.68,202.91,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,97.45,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,15,GOOD,,,,,,,,,,,,,,,,,,,,,,,
101101x,6.0,,,,,,,,,,,,,,,,,,,,,,,,
15101,0.44999999999999996,,,,,,,,,,,,,,,,,,,,,,,,
011201x,3.5,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.445,,,,,,,,,,,,,,,,,,,,,,,,
21205,2.0,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.2,,,,,,,,,,,,,,,,,,,,,,,,
082101x,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
41201,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
44404,1.0,,,,,,,,,,,,,,,,,,,,,,,,
192017,0.03,,,,,,,,,,,,,,,,,,,,,,,,
31509,1.5,,,,,,,,,,,,,,,,,,,,,,,,
51014,0.5,,,,,,,,,,,,,,,,,,,,,,,,
52008,0.02,,,,,,,,,,,,,,,,,,,,,,,,
41101,0.5,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.05,,,,,,,,,,,,,,,,,,,,,,,,
