id,Energy_kcal,Water_g,Protein_g,Fat_g,CHO_g,Fiber_g,VA_ug,VB1_mg,VB2_mg,VC_mg,Ca_mg,Fe_mg,Zn_mg,Ile_mg,Leu_mg,Lys_mg,SAA_mg,AAA_mg,Thr_mg,Trp_mg,Val_mg,price,AAS,Meal_Ratio,Ratio_error
brk,766.4549999999999,116.8545,41.099999999999994,12.1455,123.3,4.3500000000000005,0.0,0.465,0.225,0.0,509.085,12.69,5.16405,2405.16,3573.2400000000002,2260.785,1185.945,4131.51,1858.71,502.90500000000003,2349.615,6.0,82.44,34.38,14.6
lun,835.25,440.73,24.189999999999998,45.845000000000006,81.78,4.35,402.54999999999995,0.41200000000000003,0.4204999999999997,96.8,111.55,8.965,5.5325,1089.1499999999999,1996.25,1420.0,1012.1000000000001,2184.75,1021.6999999999999,270.0,1223.35,13.0,101.15,37.46,7.03
din,627.81,328.049,19.7375,15.256,102.875,3.7549999999999994,139.35000000000002,0.23374999999999999,0.20350000000000001,93.75,203.07,7.015,3.5890999999999997,1057.42,1493.1299999999999,1035.295,606.315,1833.17,823.92,264.735,1101.855,9.5,87.77,28.16,-19.54
total,2229.515,885.6335,85.02749999999999,73.2465,307.955,12.454999999999998,541.9,1.11075,0.8489999999999998,190.55,823.7049999999999,28.67,14.285649999999999,4551.73,7062.62,4716.08,2804.36,8149.43,3704.33,1037.6399999999999,4674.82,28.5,271.36,0.0,0.0
error_%,-7.1,0.0,20.0,20.0,0.0,0.0,-32.26,-20.66,-39.36,90.55,2.96,138.92,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,
AAS,89.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Types,5,GOOD,,,,,,,,,,,,,,,,,,,,,,,
1,True,,,,,,,,,,,,,,,,,,,,,,,,
2,True,,,,,,,,,,,,,,,,,,,,,,,,
3,True,,,,,,,,,,,,,,,,,,,,,,,,
4,True,,,,,,,,,,,,,,,,,,,,,,,,
5,True,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compos,18,GOOD,,,,,,,,,,,,,,,,,,,,,,,
012001x,0.75,,,,,,,,,,,,,,,,,,,,,,,,
011201x,2.15,,,,,,,,,,,,,,,,,,,,,,,,
192004,0.4600000000000001,,,,,,,,,,,,,,,,,,,,,,,,
111101x,0.4,,,,,,,,,,,,,,,,,,,,,,,,
91112,0.25,,,,,,,,,,,,,,,,,,,,,,,,
081111x,0.15,,,,,,,,,,,,,,,,,,,,,,,,
41201,0.2,,,,,,,,,,,,,,,,,,,,,,,,
21101,1.2000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
45331,0.3,,,,,,,,,,,,,,,,,,,,,,,,
44404,0.8,,,,,,,,,,,,,,,,,,,,,,,,
31509,2.0,,,,,,,,,,,,,,,,,,,,,,,,
72004,0.05,,,,,,,,,,,,,,,,,,,,,,,,
063101x,3.0,,,,,,,,,,,,,,,,,,,,,,,,
21204,0.075,,,,,,,,,,,,,,,,,,,,,,,,
43123,0.44999999999999996,,,,,,,,,,,,,,,,,,,,,,,,
42206,0.5,,,,,,,,,,,,,,,,,,,,,,,,
43208,0.05,,,,,,,,,,,,,,,,,,,,,,,,
64301,1.0,,,,,,,,,,,,,,,,,,,,,,,,
